study_id,google_scholar_link,title,journal,primary_study_location,secondary_study_location,modular_car_platform,car_generation,car_ecd,car_hinge,car_tm,car_costim_1,car_costim_2,car_activation,soluble_module,target_antigen_1,target_antigen_2,target_antigen_3,tumor_type,car_administration_days,frequency_car,car_dose,soluble_module_dose_ug_g,frequency_soluble_module_dose_s,times_soluble_module_dose_s,mice_strain,mice_provider,mice_sex,mice_age,mice_number_total,xenograft_type,cell_line,tumor_cell_number,route_administration,overall_body_condition_report,euthanization_report,immunogenicity_factors_report,second_mice_strain,purpose_second_strain,basic_car_activity,report_basic_car_activity,tumor_burden,tumor_volume,percent_servival,percent_tumor_free,percent_car_t_pb,body_weight,serum_levels_soluble_module,pb_t_phenotype,human_cytokines_pb,metastases,pharmacokinetics,Selection bias/ Sequence generation,Selection bias/ Baseline characteristics,Selection bias/ Allocation concealment,Performance bias/ Random housing,Performance bias/ Blinding,Detection bias/ Random outcome assessment,Detection bias/ Blinding,Attrition bias/ Incomplete outcome data,Reporting bias/ Selective outcome reporting,Other /other sources of bias
Ambrose_2021,https://doi.org/10.1371/journal.pone.0247701,Anti-CD19 CAR T cells potently redirected to kill solid tumor cells,PLOS ONE,USA,China,CAR-CD19,3,FMC63 anti-CD19 ,CD28,CD28,CD28,4-1BB,CD3-z,CD19 ECD-scFv,HER2,NA,NA,Carcinoma,14,Single,1.00E+07,NA,Continuous,NA,NSG,Jackson Laboratory,NA,NA,160,cell line-derived Xenograft,SKOV3,"1,000,000.00",SC,FALSE,TRUE,FALSE,TRUE,Pharmacokinetics-Half life,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,High,Low,Unclear,Unclear,Unclear,Unclear,Unclear,Low,Low,Low
Bejestani_2017,https://doi.org/10.1080/2162402x.2017.1342909,Characterization of a switchable chimeric antigen receptor platform in a pre-clinical solid tumor model,OncoImmunology,Germany,NA,UniCAR,2,anti-La/SS-B 5B9 scFv,CD28,CD28,CD28,NA,CD3-z,scFV-5B9 tag of La/SS-B,PSCA,NA,NA,Carcinoma,28,Single,1.00E+06,1250,Multiple,14,NSG,NA,M,7.5,NA,cell line-derived Xenograft,PC3-PSCA,"1,000,000.00",IV,FALSE,TRUE,FALSE,TRUE,Pharmacokinetics-Biodistribution,FALSE,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Unclear,High,Unclear,Unclear,Unclear,Unclear,Unclear,High,Unclear,High
Benmebarek_2021,https://doi.org/10.1038/s41375-020-01109-w,A modular and controllable T cell therapy platform for acute myeloid leukemia,Leukemia,Germany,"Switzerland, Italy",SAR,2,E3(EGFRvIII),CD28,CD28,CD28,NA,CD3-z,tandem scFv (tnFv),CD33,NA,NA,"Leukemia, Myeloma",5,Single,1.00E+07,0.14,Multiple,19,NSG,Charles River,F,4,153,cell line-derived Xenograft,"THP-1-LUC-GFP, MV4-11-LUC-GFP",2000000 MV4-11-LUC-GFP/ 1000000 THP-1-LUC-GFP,IV,FALSE,TRUE,TRUE,FALSE,,TRUE,in vivo section,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,High,Low,Unclear,Unclear,Unclear,Unclear,Low,Low,Low,Low
Cartellieri_2016,https://doi.org/10.1038/bcj.2016.61,Switching CAR T cells on and off: a novel modular platform for retargeting of T cells to AML blasts,Blood Cancer Journal,Germany,NA,UniCAR,2,anti-La/SS-B 5B9 scFv,CD28,CD28,CD28,NA,CD3-z,scFV-5B9 tag of La/SS-B,CD33,CD123,NA,"Leukemia, Lymphoma",-28,Single,1.00E+06,0.25,Multiple,4,NSG,NA,NA,9,21,cell line-derived Xenograft,MOLM-13,"500,000.00",IV,TRUE,TRUE,FALSE,FALSE,,TRUE,in vivo section,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Low,Low,High
Cho_2018,https://doi.org/10.1016/j.cell.2018.03.038,Universal Chimeric antigen receptors for multiplexed and logical control of T cell responses,Cell,USA,NA,SUPRA CAR,2,Leu zipper,CD8a,CD28,4-1BB,NA,CD3-z,scFV-Leucine zippe,HER2,Axl,Mesothelin,"Carcinoma, Sarcoma",7.333333333,Single,3.50E+07,6.5,Multiple,8,NSG,Jackson Laboratory,F,5,NA,cell line-derived Xenograft,"SK-BR-3, Jurkat T","7500000 SK-BR-3, 5000000 Jurkat T","IP, IV",TRUE,TRUE,TRUE,FALSE,,TRUE,in vitro section,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Low,Low,Low
He_2021,https://doi.org/10.1038/s41375-021-01208-2,CAR T cells targeting CD13 controllably induce eradication of acute myeloid leukemia with a single domain antibody switch,Leukemia,USA,NA,sCAR,2,Anti-PNE scFv,CD8a,CD8a,4-1BB,NA,CD3-z,Nb-PNE,CD13,NA,NA,Carcinoma,14,Single,3.00E+06,0.3,Multiple,NA,NSG,Jackson Laboratory,NA,10,25,cell line-derived Xenograft,THP-1,"10,000,000.00",SC,FALSE,TRUE,FALSE,FALSE,,TRUE,in vivo section,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,High,Low,High,Unclear,Unclear,Unclear,High,Low,Low,Low
Hidalgo_2023,https://doi.org/10.1007/s00262-023-03437-z,Switchable CAR T cell strategy against�osteosarcoma,"Cancer Immunology, Immunotherapy",Spain,NA,Anti-FITC CAR,2,Anti-FITC scFv,CD28,CD28,4-1BB,NA,CD3-z,Ab-FITC,B7-H3,NA,NA,Carcinoma,1,Single,6.00E+06,0.075,Multiple,6,NSG,Jackson Laboratory,NA,10,42,cell line-derived Xenograft,143B,"1,000,000.00",SC,FALSE,FALSE,TRUE,FALSE,,TRUE,in vivo section,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Unclear,Low,Unclear,Unclear,Unclear,Unclear,Unclear,Low,Low,Low
Karches_2019,https://doi.org/10.1158%2F1078-0432.CCR-18-3927,Bispecific antibodies enable synthetic agonistic receptor transduced T cells for tumor immunotherapy,Clinical Cancer Research,Germany,"Switzerland, USA",SAR,2,E3(EGFRvIII),CD28,CD28,CD28,NA,CD3-z,BiAb,MSLN,NA,NA,Sarcoma,3.5,Single,10000000,0.583333333,Multiple,6,NSG,Charles River,NA,NA,100,cell line-derived Xenograft,"Suit-2-MSLN, MIA PaCa-MSLN, MIA MSTO-MSLN","500000 (Suit-2-MSLN, MIA PaCa-MSLN), 1000000 (MSTO-MSLN-LUC)",SC,FALSE,FALSE,FALSE,TRUE,T-cell depletion,TRUE,in vivo section,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Low,Low,Low,Low
Kegler_2019,https://www.tandfonline.com/doi/full/10.1080/2162402X.2019.1621676,T cells engrafted with a UniCAR 28/z outperform UniCAR BB/z-transduced T cells in the face of regulatory T cell-mediated immunosuppression,OncoImmunology,Germany,NA,UniCAR,2,anti-La/SS-B 5B9 scFv,CD28,CD28,CD28,NA,CD3-z,scFV-5B9 tag of La/SS-B,PSCA,NA,NA,Carcinoma,0,Single,1.00E+06,0.5,Single,NA,NMRI-Foxn1nu/Foxn1nu,Jackson Laboratory,M,8,45,cell line-derived Xenograft,PC3-PSCA,"1,000,000.00",SC,FALSE,FALSE,FALSE,FALSE,,FALSE,in vivo section,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Low,Low,High
Kudo_2014,https://doi.org/10.1158/0008-5472.can-13-1365,T Lymphocytes Expressing a CD16 Signaling Receptor Exert Antibody-Dependent Cancer Cell Killing,Cancer Research,Singapore,"Japan, USA",CD16 CAR,2,CD16 (FCGR3A) V158,CD8a,CD8a,4-1BB,NA,CD3-z,mAb,CD20,HER2,NA,Lymphoma,5.5,Single,1.00E+07,7.5,Multiple,4,NSG,Jackson Laboratory,NA,NA,17,cell line-derived Xenograft,Daudi cells,"300,000.00",IP,FALSE,TRUE,FALSE,FALSE,,TRUE,in vivo section,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Low,Low
